S.No,District,Oral Complaints,Written Complaints,Police Initiated,Total Complaints,IPC Cases,SLL Cases,Total Cases,Year
1,Ariyalur,19,34,0,6,0,6,16,2014
2,Chennai,161,225,0,66,0,66,36,2014
3,Coimbatore,43,34,1,7,0,7,35,2014
4,Coimbatore City,21,43,1,5,0,5,14,2014
5,Cuddalore,50,122,0,14,0,14,83,2014
6,Dharmapuri,43,50,4,11,0,11,139,2014
7,Dindigul,61,60,0,15,0,15,113,2014
8,Erode,53,20,2,0,0,0,30,2014
9,Kanchipuram,66,83,0,16,0,16,14,2014
10,Kanyakumari,41,108,1,8,0,8,17,2014
11,Karur,20,20,0,1,0,1,15,2014
12,Krishnagiri,59,55,4,13,0,13,73,2014
13,Madurai,67,180,4,37,0,37,200,2014
14,Madurai City,33,51,1,6,0,6,27,2014
15,Nagapattinam,36,60,0,16,0,16,40,2014
16,Namakkal,35,37,1,0,0,0,27,2014
17,Nilgiris,7,14,0,6,0,6,5,2014
18,Perambalur,15,18,0,7,0,7,4,2014
19,Pudukottai,34,38,0,3,0,3,54,2014
20,Ramnathapuram,45,84,0,9,0,9,37,2014
21,Railway Chennai,3,5,1,1,0,1,0,2014
22,Railway Trichy,0,0,0,0,0,0,0,2014
23,Salem,58,56,4,8,0,8,48,2014
24,Salem City,36,30,1,5,0,5,23,2014
25,Sivagangai,29,60,1,16,0,16,46,2014
26,Thanjavur,70,110,0,8,0,8,56,2014
27,Theni,47,53,1,8,0,8,45,2014
28,Thirunelveli,108,365,0,43,0,43,47,2014
29,Thirunelveli City,18,106,1,6,0,6,7,2014
30,Thiruvallur,37,46,2,8,0,8,9,2014
31,Thiruvannamalai,47,99,4,16,0,16,65,2014
32,Thiruvarur,26,38,0,2,0,2,27,2014
33,Thoothukudi,89,143,1,19,0,19,15,2014
34,Tiruppur,36,24,0,6,0,6,60,2014
35,Tiruppur City,20,38,1,5,0,5,24,2014
36,Trichy,39,32,0,8,0,8,30,2014
37,Trichy City,24,9,0,3,0,3,7,2014
38,Vellore,92,144,7,12,0,12,97,2014
39,Villupuram,68,152,6,38,0,38,138,2014
40,Virudhunagar,49,76,1,13,0,13,23,2014
41,Cyber Cell,0,0,0,0,0,0,0,2014
1,Ariyalur,12,4,2,23,0,7,0,2014
2,Chennai,17,46,10,59,157,302,0,2014
3,Coimbatore,9,7,0,21,0,47,0,2014
4,Coimbatore City,14,17,0,8,0,63,0,2014
5,Cuddalore,35,20,5,3,0,39,0,2014
6,Dharmapuri,25,35,2,26,0,32,0,2014
7,Dindigul,12,7,4,29,0,119,0,2014
8,Erode,10,26,0,19,0,26,0,2014
9,Kanchipuram,10,29,2,8,1,19,0,2014
10,Kanyakumari,40,8,2,3,0,56,0,2014
11,Karur,4,3,1,20,0,9,0,2014
12,Krishnagiri,13,28,4,34,1,29,0,2014
13,Madurai,31,251,5,79,10,326,0,2014
14,Madurai City,7,4,1,22,1,69,0,2014
15,Nagapattinam,19,7,0,14,28,22,0,2014
16,Namakkal,10,20,0,48,3,11,0,2014
17,Nilgiris,7,16,0,12,1,5,0,2014
18,Perambalur,1,9,1,26,0,13,0,2014
19,Pudukottai,21,31,2,29,0,44,0,2014
20,Ramnathapuram,27,15,3,12,0,24,0,2014
21,Railway Chennai,0,2,0,4,0,0,0,2014
22,Railway Trichy,0,0,0,0,0,0,0,2014
23,Salem,30,15,7,46,0,22,0,2014
24,Salem City,2,573,1,12,21,33,0,2014
25,Sivagangai,13,41,3,13,0,51,0,2014
26,Thanjavur,39,59,0,62,0,31,0,2014
27,Theni,10,13,6,30,0,58,0,2014
28,Thirunelveli,75,29,5,47,0,147,0,2014
29,Thirunelveli City,3,1,0,3,0,19,0,2014
30,Thiruvallur,9,17,4,2,2,15,0,2014
31,Thiruvannamalai,15,30,6,14,0,35,0,2014
32,Thiruvarur,26,9,1,2,1,7,0,2014
33,Thoothukudi,35,36,0,44,0,73,0,2014
34,Tiruppur,7,8,3,15,0,33,0,2014
35,Tiruppur City,3,6,0,7,0,22,0,2014
36,Trichy,0,3,2,51,0,48,0,2014
37,Trichy City,0,13,0,10,3,27,0,2014
38,Vellore,20,0,3,44,0,110,0,2014
39,Villupuram,51,75,7,176,0,81,0,2014
40,Virudhunagar,13,6,3,25,0,29,0,2014
41,Cyber Cell,0,0,0,0,0,0,0,2014
2009,QA,2013,2009,2010,2011,2012,2013,2014,2014
1,Ariyalur,45,0,0,45,4334,1471,2831,2015
2,Chennai,204085,0,199081,5004,77189,72750,4367,2015
3,Coimbatore,156,0,0,156,5211,4930,250,2015
5,Cuddalore,54,0,0,54,10304,8929,1341,2015
6,Dharmapuri,106,0,0,106,13794,13754,22,2015
7,Dindigul,754,0,661,93,22718,21818,655,2015
8,Erode,828,752,0,76,4654,4631,14,2015
9,Kanchipuram,1125,983,15,127,18502,18477,25,2015
10,Kanyakumari,4576,336,4059,181,8589,3950,4402,2015
11,Karur,76,0,0,76,8727,8711,0,2015
12,Krishnagiri,992,0,867,125,8903,6163,2740,2015
13,Madurai,2690,1830,700,160,5099,3456,1620,2015
15,Nagapattinam,119,0,0,119,6978,6978,0,2015
16,Namakkal,272,0,0,272,13746,11552,2188,2015
17,Nilgiris,904,0,6,898,1102,1097,2,2015
18,Perambalur,442,45,384,13,1159,1035,114,2015
19,Pudukottai,75,0,0,75,7495,7483,0,2015
20,Ramnathapuram,6284,3762,2130,392,11435,9424,1905,2015
23,Salem,59,0,0,59,34548,30748,3796,2015
25,Sivagangai,1353,1176,55,122,7008,4222,2672,2015
26,Thanjavur,282,82,180,20,6318,6040,240,2015
27,Theni,11790,11758,0,32,6472,2092,4164,2015
28,Thirunelveli,337,0,0,337,10369,10096,49,2015
30,Thiruvallur,68,0,0,68,5311,5311,0,2015
31,Thiruvannamalai,207,0,150,57,5043,4916,112,2015
32,Thiruvarur,1030,862,90,78,6411,4756,1655,2015
33,Thoothukudi,2762,69,2580,113,13751,9697,3910,2015
34,Tiruppur,459,0,352,107,6875,5658,1210,2015
36,Trichy,103,0,0,103,4990,4810,78,2015
38,Vellore,150,0,150,0,7743,7743,0,2015
39,Villupuram,990,688,62,240,16943,12338,4575,2015
40,Virudhunagar,540,0,0,540,6308,5989,150,2015
1,Ariyalur,2234,0,0,2234,0,6613,1386,2015
2,Chennai,204432,0,0,204432,0,485706,13422,2015
3,Coimbatore,3483,0,0,3483,0,8850,4930,2015
5,Cuddalore,9373,0,0,9373,0,19731,8689,2015
6,Dharmapuri,6691,0,0,6691,0,20591,3853,2015
7,Dindigul,6441,94,55,6292,0,29913,6558,2015
8,Erode,4254,0,0,4254,0,9736,4654,2015
9,Kanchipuram,10272,0,0,10272,0,29899,7919,2015
10,Kanyakumari,21497,0,0,13321,8176,34662,3943,2015
11,Karur,5329,0,0,5329,0,14132,2560,2015
12,Krishnagiri,17949,0,0,17949,0,27844,4810,2015
13,Madurai,3958,0,0,3774,184,11747,7319,2015
15,Nagapattinam,14659,0,0,14659,0,21756,4708,2015
16,Namakkal,6846,106,0,6740,0,20864,3794,2015
17,Nilgiris,1850,0,0,1850,0,3856,1092,2015
18,Perambalur,1550,0,0,1550,0,3151,1088,2015
19,Pudukottai,2566,0,0,2566,0,10136,3451,2015
20,Ramnathapuram,1317,0,0,1317,0,19036,4209,2015
23,Salem,12416,254,0,12162,0,47023,4997,2015
25,Sivagangai,7875,0,0,7875,0,16236,4265,2015
26,Thanjavur,4216,0,0,4216,0,10816,6078,2015
27,Theni,9868,26,0,9842,0,28130,4970,2015
28,Thirunelveli,31063,0,0,31063,0,41769,8870,2015
30,Thiruvallur,8223,0,0,8223,0,13602,3797,2015
31,Thiruvannamalai,14295,0,0,14295,0,19545,4743,2015
32,Thiruvarur,4032,0,0,4032,0,11473,3692,2015
33,Thoothukudi,9896,186,27,4931,4752,26409,6290,2015
34,Tiruppur,20923,0,0,12317,8606,28257,4255,2015
36,Trichy,4088,0,0,4088,0,9181,4912,2015
38,Vellore,6237,0,0,6237,0,14130,7606,2015
39,Villupuram,10948,0,0,10948,0,28881,9945,2015
